park_name,park_long,park_lat,park_state
Russell Cave National Monument,85.81560314,34.97402063,AL
Sagamore Hill National Historic Site,73.49686438,40.88579128,NY
Saguaro National Park,110.7574974,32.20909636,AZ
Saint Croix Island International Historic Site,67.13363651,45.12858838,ME
Saint Croix National Scenic Riverway,92.36126685,45.70019235,WI,MN
Saint Paul's Church National Historic Site,73.82577276,40.89283511,NY
Saint-Gaudens National Historic Site,72.37333969,43.4997238,NH
Salem Maritime National Historic Site,70.88640867,42.52024529,MA
Salinas Pueblo Missions National Monument,106.2050309,34.35423203,NM
Salt River Bay National Historical Park and Ecological Preserve,64.75519348,17.77908602,VI
San Antonio Missions National Historical Park,98.4289522,29.31262089,TX
San Francisco Maritime National Historical Park,122.4244415,37.81005871,CA
San Juan Island National Historical Park,123.0610277,48.51241933,WA
San Juan National Historic Site,66.11848623,18.46873857,PR
Sand Creek Massacre National Historic Site,102.5169542,38.56414189,CO
Santa Monica Mountains National Recreation Area,118.7708619,34.09777606,CA
Saratoga National Historical Park,73.63386108,42.99522612,NY
Saugus Iron Works National Historic Site,71.0076953,42.46830664,MA
Scotts Bluff National Monument,103.7071351,41.83464193,NE
Selma To Montgomery National Historic Trail,86.72823702,32.27082092,AL
Sequoia & Kings Canyon National Parks,118.587429,36.71277299,CA
Shenandoah National Park,78.46907715,38.49236644,VA
Shenandoah Valley Battlefields National Historic District,78.7985458374023,38.5846176147461,VA
Shiloh National Military Park,88.3421072,35.13850907,TN,MS
Sitka National Historical Park,135.3156876,57.04718173,AK
Sleeping Bear Dunes National Lakeshore,86.02706591,44.92844962,MI
South Carolina National Heritage Corridor,81.5836944580078,33.684154510498,SC
Springfield Armory National Historic Site,72.57967415,42.1086368,MA
Star-Spangled Banner National Historic Trail,76.6034317017,39.2872505188,MD,VA,DC
Statue Of Liberty National Monument,74.04232397,40.69572149,NY
Steamtown National Historic Site,75.67037255,41.40757521,PA
Stones River National Battlefield,86.43078399,35.87608652,TN
Stonewall National Monument,74.0006866455078,40.7337799072266,NY
Sunset Crater Volcano National Monument,111.510376,35.37114323,AZ
Tallgrass Prairie National Preserve,96.5670822,38.44023613,KS
Tennessee Civil War National Heritage Area,86.3433303833008,35.8429870605469,TN
Thaddeus Kosciuszko National Memorial,75.14732045,39.94345312,PA
Theodore Roosevelt Birthplace National Historic Site,73.98903703,40.7386469,NY
Theodore Roosevelt Inaugural National Historic Site,78.87248411,42.90146781,NY
Theodore Roosevelt Island,77.06241918,38.89584162,DC
Theodore Roosevelt National Park,103.4300083,47.17777274,ND
Thomas Edison National Historical Park,74.23821139,40.78549896,NJ
Thomas Jefferson Memorial,77.03632572,38.88101431,DC
Thomas Stone National Historic Site,77.037813,38.52934443,MD
